﻿ Consumption
 Time, Wh 
  05/10/2025 02:00 , 61.25 
  05/10/2025 02:01 , 61.26 
  05/10/2025 02:02 , 61.26 
  05/10/2025 02:03 , 61.24 
  05/10/2025 02:04 , 61.18 
  05/10/2025 02:05 , 61.19 
  05/10/2025 02:06 , 61.2 
  05/10/2025 02:07 , 61.28 
  05/10/2025 02:08 , 61.3 
  05/10/2025 02:09 , 61.29 
  05/10/2025 02:10 , 61.26 
  05/10/2025 02:11 , 61.26 
  05/10/2025 02:12 , 61.26 
  05/10/2025 02:13 , 61.26 
  05/10/2025 02:14 , 61.28 
  05/10/2025 02:15 , 61.32 
  05/10/2025 02:16 , 61.32 
  05/10/2025 02:17 , 61.23 
  05/10/2025 02:18 , 61.27 
  05/10/2025 02:19 , 61.27 
  05/10/2025 02:20 , 61.24 
  05/10/2025 02:21 , 61.24 
  05/10/2025 02:22 , 61.29 
  05/10/2025 02:23 , 61.26 
  05/10/2025 02:24 , 61.26 
  05/10/2025 02:25 , 61.23 
  05/10/2025 02:26 , 61.24 
  05/10/2025 02:27 , 62.25 
  05/10/2025 02:28 , 62.25 
  05/10/2025 02:29 , 61.36 
  05/10/2025 02:30 , 60.34 
  05/10/2025 02:31 , 61.36 
  05/10/2025 02:32 , 61.3 
  05/10/2025 02:33 , 61.26 
  05/10/2025 02:34 , 61.33 
  05/10/2025 02:35 , 61.34 
  05/10/2025 02:36 , 61.33 
  05/10/2025 02:37 , 61.36 
  05/10/2025 02:38 , 61.38 
  05/10/2025 02:39 , 61.33 
  05/10/2025 02:40 , 61.36 
  05/10/2025 02:41 , 61.37 
  05/10/2025 02:42 , 61.34 
  05/10/2025 02:43 , 61.34 
  05/10/2025 02:44 , 61.33 
  05/10/2025 02:45 , 61.4 
  05/10/2025 02:46 , 61.38 
  05/10/2025 02:47 , 61.36 
  05/10/2025 02:48 , 61.38 
  05/10/2025 02:49 , 61.35 
  05/10/2025 02:50 , 61.4 
  05/10/2025 02:51 , 61.39 
  05/10/2025 02:52 , 61.37 
  05/10/2025 02:53 , 61.37 
  05/10/2025 02:54 , 61.39 
  05/10/2025 02:55 , 47.54 
  05/10/2025 02:56 , 33.96 
  05/10/2025 02:57 , 33.95 
  05/10/2025 02:58 , 31.88 
  05/10/2025 02:59 , 31.4 
 
 Total returned
 Time, Wh 
  05/10/2025 02:00 , 0 
  05/10/2025 02:01 , 0 
  05/10/2025 02:02 , 0 
  05/10/2025 02:03 , 0 
  05/10/2025 02:04 , 0 
  05/10/2025 02:05 , 0 
  05/10/2025 02:06 , 0 
  05/10/2025 02:07 , 0 
  05/10/2025 02:08 , 0 
  05/10/2025 02:09 , 0 
  05/10/2025 02:10 , 0 
  05/10/2025 02:11 , 0 
  05/10/2025 02:12 , 0 
  05/10/2025 02:13 , 0 
  05/10/2025 02:14 , 0 
  05/10/2025 02:15 , 0 
  05/10/2025 02:16 , 0 
  05/10/2025 02:17 , 0 
  05/10/2025 02:18 , 0 
  05/10/2025 02:19 , 0 
  05/10/2025 02:20 , 0 
  05/10/2025 02:21 , 0 
  05/10/2025 02:22 , 0 
  05/10/2025 02:23 , 0 
  05/10/2025 02:24 , 0 
  05/10/2025 02:25 , 0 
  05/10/2025 02:26 , 0 
  05/10/2025 02:27 , 0 
  05/10/2025 02:28 , 0 
  05/10/2025 02:29 , 0 
  05/10/2025 02:30 , 0 
  05/10/2025 02:31 , 0 
  05/10/2025 02:32 , 0 
  05/10/2025 02:33 , 0 
  05/10/2025 02:34 , 0 
  05/10/2025 02:35 , 0 
  05/10/2025 02:36 , 0 
  05/10/2025 02:37 , 0 
  05/10/2025 02:38 , 0 
  05/10/2025 02:39 , 0 
  05/10/2025 02:40 , 0 
  05/10/2025 02:41 , 0 
  05/10/2025 02:42 , 0 
  05/10/2025 02:43 , 0 
  05/10/2025 02:44 , 0 
  05/10/2025 02:45 , 0 
  05/10/2025 02:46 , 0 
  05/10/2025 02:47 , 0 
  05/10/2025 02:48 , 0 
  05/10/2025 02:49 , 0 
  05/10/2025 02:50 , 0 
  05/10/2025 02:51 , 0 
  05/10/2025 02:52 , 0 
  05/10/2025 02:53 , 0 
  05/10/2025 02:54 , 0 
  05/10/2025 02:55 , 0 
  05/10/2025 02:56 , 0 
  05/10/2025 02:57 , 0 
  05/10/2025 02:58 , 0 
  05/10/2025 02:59 , 0 
 
