 Consumption
 Time, Wh 
  09/03/2026 00:00 , 44.43 
  09/03/2026 00:01 , 44.43 
  09/03/2026 00:02 , 61.9 
  09/03/2026 00:03 , 0 
  09/03/2026 00:04 , 60.02 
  09/03/2026 00:05 , 60.02 
  09/03/2026 00:06 , 61.05 
  09/03/2026 00:07 , 61.11 
  09/03/2026 00:08 , 61.11 
  09/03/2026 00:09 , 61.12 
  09/03/2026 00:10 , 61.12 
  09/03/2026 00:11 , 61.2 
  09/03/2026 00:12 , 61.19 
  09/03/2026 00:13 , 61.19 
  09/03/2026 00:14 , 61.29 
  09/03/2026 00:15 , 61.29 
  09/03/2026 00:16 , 61.32 
  09/03/2026 00:17 , 61.34 
  09/03/2026 00:18 , 61.34 
  09/03/2026 00:19 , 61.35 
  09/03/2026 00:20 , 61.35 
  09/03/2026 00:21 , 61.39 
  09/03/2026 00:22 , 61.35 
  09/03/2026 00:23 , 61.4 
  09/03/2026 00:24 , 61.4 
  09/03/2026 00:25 , 61.36 
  09/03/2026 00:26 , 61.38 
  09/03/2026 00:27 , 61.33 
  09/03/2026 00:28 , 61.36 
  09/03/2026 00:29 , 61.36 
  09/03/2026 00:30 , 61.36 
  09/03/2026 00:31 , 61.36 
  09/03/2026 00:32 , 61.41 
  09/03/2026 00:33 , 61.47 
  09/03/2026 00:34 , 61.47 
  09/03/2026 00:35 , 61.41 
  09/03/2026 00:36 , 61.41 
  09/03/2026 00:37 , 61.43 
  09/03/2026 00:38 , 61.37 
  09/03/2026 00:39 , 61.42 
  09/03/2026 00:40 , 61.42 
  09/03/2026 00:41 , 61.36 
  09/03/2026 00:42 , 61.36 
  09/03/2026 00:43 , 61.38 
  09/03/2026 00:44 , 61.38 
  09/03/2026 00:45 , 61.41 
  09/03/2026 00:46 , 61.44 
  09/03/2026 00:47 , 61.43 
  09/03/2026 00:48 , 61.47 
  09/03/2026 00:49 , 61.47 
  09/03/2026 00:50 , 61.41 
  09/03/2026 00:51 , 60.48 
  09/03/2026 00:52 , 60.48 
  09/03/2026 00:53 , 61.43 
  09/03/2026 00:54 , 0 
  09/03/2026 00:55 , 61.48 
  09/03/2026 00:56 , 61.42 
  09/03/2026 00:57 , 60.42 
  09/03/2026 00:58 , 60.42 
  09/03/2026 00:59 , 62.46 
 
 Total returned
 Time, Wh 
  09/03/2026 00:00 , 0 
  09/03/2026 00:01 , 0 
  09/03/2026 00:02 , 0 
  09/03/2026 00:03 , 0 
  09/03/2026 00:04 , 0 
  09/03/2026 00:05 , 0 
  09/03/2026 00:06 , 0 
  09/03/2026 00:07 , 0 
  09/03/2026 00:08 , 0 
  09/03/2026 00:09 , 0 
  09/03/2026 00:10 , 0 
  09/03/2026 00:11 , 0 
  09/03/2026 00:12 , 0 
  09/03/2026 00:13 , 0 
  09/03/2026 00:14 , 0 
  09/03/2026 00:15 , 0 
  09/03/2026 00:16 , 0 
  09/03/2026 00:17 , 0 
  09/03/2026 00:18 , 0 
  09/03/2026 00:19 , 0 
  09/03/2026 00:20 , 0 
  09/03/2026 00:21 , 0 
  09/03/2026 00:22 , 0 
  09/03/2026 00:23 , 0 
  09/03/2026 00:24 , 0 
  09/03/2026 00:25 , 0 
  09/03/2026 00:26 , 0 
  09/03/2026 00:27 , 0 
  09/03/2026 00:28 , 0 
  09/03/2026 00:29 , 0 
  09/03/2026 00:30 , 0 
  09/03/2026 00:31 , 0 
  09/03/2026 00:32 , 0 
  09/03/2026 00:33 , 0 
  09/03/2026 00:34 , 0 
  09/03/2026 00:35 , 0 
  09/03/2026 00:36 , 0 
  09/03/2026 00:37 , 0 
  09/03/2026 00:38 , 0 
  09/03/2026 00:39 , 0 
  09/03/2026 00:40 , 0 
  09/03/2026 00:41 , 0 
  09/03/2026 00:42 , 0 
  09/03/2026 00:43 , 0 
  09/03/2026 00:44 , 0 
  09/03/2026 00:45 , 0 
  09/03/2026 00:46 , 0 
  09/03/2026 00:47 , 0 
  09/03/2026 00:48 , 0 
  09/03/2026 00:49 , 0 
  09/03/2026 00:50 , 0 
  09/03/2026 00:51 , 0 
  09/03/2026 00:52 , 0 
  09/03/2026 00:53 , 0 
  09/03/2026 00:54 , 0 
  09/03/2026 00:55 , 0 
  09/03/2026 00:56 , 0 
  09/03/2026 00:57 , 0 
  09/03/2026 00:58 , 0 
  09/03/2026 00:59 , 0 
 
